Index,Target Var,Method,CrossValMeans,CrossValerrors,Model
Australian Grand Prix,statusId,Extra Trees,0.7038314176245212,0.061300287309549784,1_3
Australian Grand Prix,statusId,Random Forest,0.7153256704980843,0.036303566543677154,1_3
Australian Grand Prix,statusId,Gradient Boosting,0.7501915708812259,0.011920574088968624,1_3
Australian Grand Prix,statusId,Logistic Regression,0.6137931034482759,0.11304175497144132,1_3
Australian Grand Prix,statusId,KNN,0.7831417624521073,0.06071557943154118,1_3
Australian Grand Prix,statusId,SVC,0.7942528735632184,0.07608813408476031,1_3
Australian Grand Prix,statusId,LDA,0.5256704980842912,0.21499954851152733,1_3
Australian Grand Prix,statusId,MLP,0.6249042145593869,0.1127778282168468,1_3
Australian Grand Prix,statusId,Extra Trees,0.7632632632632633,0.09291802238537547,1_4
Australian Grand Prix,statusId,Random Forest,0.6641641641641641,0.0425101448800522,1_4
Australian Grand Prix,statusId,Gradient Boosting,0.5447947947947949,0.11177925437582738,1_4
Australian Grand Prix,statusId,Logistic Regression,0.6101101101101101,0.0965823325758112,1_4
Australian Grand Prix,statusId,KNN,0.7812812812812813,0.06076084321548251,1_4
Australian Grand Prix,statusId,SVC,0.7992992992992992,0.07013081879714918,1_4
Australian Grand Prix,statusId,LDA,0.6281281281281282,0.13841169182938884,1_4
Australian Grand Prix,statusId,MLP,0.6914414414414415,0.12824000761699786,1_4
Australian Grand Prix,statusId,Extra Trees,0.7878787878787877,0.04670010608309831,1_5
Australian Grand Prix,statusId,Random Forest,0.7954545454545455,0.018556740475630166,1_5
Australian Grand Prix,statusId,Gradient Boosting,0.6818181818181818,0.12168468488037132,1_5
Australian Grand Prix,statusId,Logistic Regression,0.4924242424242424,0.10873257647278275,1_5
Australian Grand Prix,statusId,KNN,0.8333333333333334,0.06516913081092898,1_5
Australian Grand Prix,statusId,SVC,0.8333333333333334,0.06516913081092898,1_5
Australian Grand Prix,statusId,LDA,0.537878787878788,0.19842122505619386,1_5
Australian Grand Prix,statusId,MLP,0.7196969696969697,0.059651574803119785,1_5
Chinese Grand Prix,statusId,Extra Trees,0.6744663382594417,0.09858543398321522,1_3
Chinese Grand Prix,statusId,Random Forest,0.7680623973727423,0.056635370836762844,1_3
Chinese Grand Prix,statusId,Gradient Boosting,0.7344006568144499,0.11204565580377973,1_3
Chinese Grand Prix,statusId,Logistic Regression,0.6884236453201971,0.14727265378311996,1_3
Chinese Grand Prix,statusId,KNN,0.722495894909688,0.11061523673628434,1_3
Chinese Grand Prix,statusId,SVC,0.7684729064039408,0.0687305403496103,1_3
Chinese Grand Prix,statusId,LDA,0.6658456486042693,0.19866262122434913,1_3
Chinese Grand Prix,statusId,MLP,0.7463054187192117,0.13192102284493054,1_3
