Model,Method,AUC Score
1_4,Gradient Boosting,0.5400517578826401
1_4,Random Forest,0.5361228946706887
1_5,Extra Trees,0.5274576016303957
1_5,Gradient Boosting,0.5274095695970696
1_3,KNN,0.5252442002442003
1_3,Gradient Boosting,0.517785521259786
1_3,Extra Trees,0.5156035875888818
1_3,LDA,0.5153975885225884
1_5,Random Forest,0.5149308922286864
1_4,Extra Trees,0.5146591745672627
1_4,KNN,0.5136446437549378
1_3,MLP,0.5122812746893629
1_5,MLP,0.5111194606047547
1_5,KNN,0.5102418659771601
1_4,MLP,0.5018454849888674
1_5,SVC,0.5
1_4,SVC,0.5
1_3,SVC,0.5
1_3,Logistic Regression,0.4990128070458953
1_4,Logistic Regression,0.49665250395029814
1_4,LDA,0.4868027499461324
1_5,Logistic Regression,0.4856875763125763
1_3,Random Forest,0.4785420033397975
1_5,LDA,0.47260836385836386
